experiment_id,dataset,split,experimental_role,relative_to_data,filename,width,height,mode,format,sha256
IMG_0001,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\101085.jpg,101085.jpg,321,481,RGB,JPEG,dbefbd4ae3749913ee9fffcdb663bea87ab6634dc8b989422f741243bdbedc8a
IMG_0002,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\101087.jpg,101087.jpg,321,481,RGB,JPEG,d755a74144410290cff5e214bb7cbf352a8cb920d45fac3d992b9772ad92a017
IMG_0003,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\102061.jpg,102061.jpg,321,481,RGB,JPEG,35ce0a9baaebae00c19f6abccd1d7b3ecd8f1c62003e178610b2179c082f0a8e
IMG_0004,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\103070.jpg,103070.jpg,481,321,RGB,JPEG,6d1d9e564b5459e969f65470ff03aa3104af779e93c93ca434ad546477e27261
IMG_0005,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\105025.jpg,105025.jpg,481,321,RGB,JPEG,6678e84e923e5c1b085afe43ae2fc3735f7f424e02eaefe50a64405f76b9b51b
IMG_0006,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\106024.jpg,106024.jpg,481,321,RGB,JPEG,ea31189313c34be7b7a48b7cd776c17f3afb5585de37a6e740a638320fa9847d
IMG_0007,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\108005.jpg,108005.jpg,481,321,RGB,JPEG,e0210b50350e928e35f048fe4b8ea54e58200c58ae3bb5ff619b2074b38fac01
IMG_0008,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\108070.jpg,108070.jpg,481,321,RGB,JPEG,6a5d0dd5e9e0a14f680b1c8225b151268c40a41935add1c91483575fd5db51cb
IMG_0009,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\108082.jpg,108082.jpg,481,321,RGB,JPEG,389d781d17c9809aeec1f609a324725aa694aea668036bc17f79176a729f7071
IMG_0010,BSDS500,validation,development_parameter_selection,BSR\BSDS500\data\images\val\109053.jpg,109053.jpg,481,321,RGB,JPEG,91819e7ece60560b5f37398dacd12fc1ac41d095f3454bee965645781599a968
